token_id,decision_score,entry_sec,entry_price,slot0_price,peak_price,exit_sec,exit_price,exit_reason,gross_roi,net_roi,fee_drag,slip_drag,max_drawdown,holding_sec,hit_2x_actual,strategy
219518,0.8050229702584168,1,5.049057678957072e-8,3.744455026347002e-8,8.723182388961657e-8,574,2.7992983599324398e-8,timeout,-0.4455800393013811,-0.4589310129626807,0.02,-0.0066490263387004415,-0.4455800393013811,573,1,deployer_sell_exit
219564,0.7280415610732871,1,2.815724290875396e-8,2.805103954427147e-8,3.416372701996953e-8,12,1.3675531091887645e-8,sl_50,-0.5143156900622545,-0.5266222822111836,0.02,-0.0076934078510709596,-0.5143156900622545,11,0,deployer_sell_exit
219641,0.7792198910222194,2,3.078856163329159e-8,2.9339684510718137e-8,3.078856163329159e-8,39,2.9339684510718137e-8,deployer_sell,-0.04705894155856849,-0.07179084898620763,0.02,0.004731907427639143,-0.04705894155856849,37,0,deployer_sell_exit
219773,0.7607736400784257,1,4.211113278271289e-8,3.48831590262114e-8,4.211113278271289e-8,118,2.814551351509353e-8,timeout,-0.3316372261862405,-0.3481234875635895,0.02,-0.0035137386226509575,-0.3316372261862405,117,0,deployer_sell_exit
219796,0.7569724340348732,2,3.1251199906804185e-8,2.9356943150047226e-8,3.9380213652108925e-8,3,2.8085111551026853e-8,timeout,-0.10131093734701668,-0.12451808584186319,0.02,0.0032071484948465075,-0.10131093734701668,1,0,deployer_sell_exit
219873,0.7727100998739241,1,2.8144340699025186e-8,2.805103954427147e-8,4.545008143638561e-8,13,1.1980277898145717e-8,sl_50,-0.5743272856784074,-0.5850534294369091,0.02,-0.009273856241498329,-0.5743272856784074,12,0,deployer_sell_exit
220092,0.75485160036469,1,2.840274119857165e-8,2.818910864771862e-8,1.0992944270241054e-7,8,1.0992944270241054e-7,tp_3x,2.8703814513487447,2.7568614886398346,0.02,0.09351996270891007,-0.075350586722299,7,1,deployer_sell_exit
220151,0.8745450294760254,1,1.2943975900534187e-7,5.574427593429444e-8,1.7432513148274694e-7,80,9.858590070552638e-8,deployer_sell,-0.23836461483632843,-0.25565904715882587,0.02,-0.0027055676775025565,-0.35712436671807635,79,1,deployer_sell_exit
220397,0.8204803771167652,1,4.932822263280198e-8,3.965192801312898e-8,9.49158767966983e-8,1714,2.9094479038755572e-8,timeout,-0.410185944558876,-0.4244513178227838,0.02,-0.005734626736092246,-0.410185944558876,1713,1,deployer_sell_exit
220531,0.7299063568885122,1,3.679622251968598e-8,2.823858341100152e-8,3.877714170536848e-8,10,1.3747213056451307e-8,sl_50,-0.6263960777741099,-0.6355200874348249,0.02,-0.010875990339284974,-0.6263960777741099,9,0,deployer_sell_exit
220593,0.8501583672291889,1,3.792500345431985e-8,3.25612969273068e-8,3.792500345431985e-8,82,3.25612969273068e-8,deployer_sell,-0.1414292956749117,-0.1630834570502948,0.02,0.0016541613753831182,-0.1414292956749117,81,0,deployer_sell_exit
220695,0.7350927545818683,1,4.9684969477529764e-8,3.641192917055033e-8,5.205761230022891e-8,97,2.7964761999832962e-8,timeout,-0.4371585150619818,-0.45073883409299753,0.02,-0.0064196809689842475,-0.4384536943111482,96,0,deployer_sell_exit
220698,0.7308972242295013,2,4.5676146264556505e-8,3.576008462014981e-8,4.5676146264556505e-8,3,4.2753142846080185e-8,deployer_sell,-0.06399409007813983,-0.08725707765472351,0.02,0.003262987576583682,-0.06399409007813983,1,1,deployer_sell_exit
220774,0.7287323064514206,1,2.805244746231495e-8,2.8005671041566015e-8,8.643282294170944e-8,54,8.643282294170944e-8,tp_3x,2.0811152238257082,1.9926357780886657,0.02,0.06847944573704258,-0.07852506075004995,53,1,deployer_sell_exit
220857,0.7747947447876673,1,3.474649963510977e-8,3.1640836236719675e-8,3.780337794216833e-8,7,1.7194358607136213e-8,sl_50,-0.5051484671059617,-0.5174293995446778,0.02,-0.007719067561283915,-0.5051484671059617,6,0,deployer_sell_exit
220862,0.8017756926345504,16,3.274587249891744e-8,2.7959925588227248e-8,8.92449332175526e-8,1647,3.972778914280198e-8,timeout,0.21321516609811986,0.18150120918334303,0.02,0.011713956914776825,-0.04895970737298283,1631,1,deployer_sell_exit
220872,0.7351743862555875,1,5.210152665782225e-8,3.894014116326903e-8,5.6354089443348594e-8,6,5.6354089443348594e-8,deployer_sell,0.08162069440796094,0.054894199147180606,0.02,0.00672649526078033,-0.1402491876326487,5,0,deployer_sell_exit
221097,0.8406593422042122,1,3.2835749655928576e-8,3.019196524541101e-8,1.0428823381172733e-7,636,1.0428823381172733e-7,tp_3x,2.176057647671151,2.086703799402107,0.02,0.06935384826904391,-0.022383652945924037,635,1,deployer_sell_exit
221190,0.9287014250069348,1,5.263585740553509e-8,3.808039535609036e-8,5.43018784425676e-8,4,5.2478027177368475e-8,deployer_sell,-0.002998530582500103,-0.02751321417288538,0.02,0.004514683590385277,-0.002998530582500103,3,1,deployer_sell_exit
221213,0.868515921362738,2,4.499172086693011e-8,3.450963606989782e-8,5.075636413617091e-8,5,4.896544986320154e-8,deployer_sell,0.08832133823074573,0.061024119554516365,0.02,0.007297218676229362,-0.02113168365442919,3,1,deployer_sell_exit
221315,0.8988287713528732,1,8.28931856428814e-8,3.679541611247804e-8,9.352009390794539e-8,61,3.9893813311049957e-8,sl_50,-0.5187322938351097,-0.5298357171019532,0.02,-0.008896576733156452,-0.5187322938351097,60,1,deployer_sell_exit
221418,0.7916599818882589,1,5.245276397073713e-8,3.8120879508117667e-8,5.338840536689301e-8,3,4.9787755391856023e-8,deployer_sell,-0.05080778165222877,-0.07410083192441241,0.02,0.003293050272183646,-0.05080778165222877,2,0,deployer_sell_exit
221448,0.8295869129676293,1,3.924412069137484e-8,3.2561296996272315e-8,6.70371460521248e-8,38,1.954729160792576e-8,sl_50,-0.5019052213795198,-0.5141258013965424,0.02,-0.0077794199829773585,-0.5019052213795198,37,1,deployer_sell_exit
221488,0.7756074422367016,1,5.4415054890430295e-8,3.900452176141661e-8,1.6467587259849543e-7,181,1.6467587259849543e-7,tp_3x,2.0262925017733675,1.946971535035173,0.02,0.05932096673819444,0.0,180,1,deployer_sell_exit
221848,0.7992217699885812,1,3.2811473199226573e-8,3.023328969704783e-8,3.2811473199226573e-8,29,2.9077186199865927e-8,deployer_sell,-0.11381040335149206,-0.13655189408054408,0.02,0.002741490729052016,-0.11381040335149206,28,0,deployer_sell_exit
221967,0.7566289270220979,1,2.9002430104414253e-8,2.8424976700839144e-8,4.157622467832509e-8,11,1.2426367004971959e-8,sl_50,-0.5715404895301988,-0.5823060722401753,0.02,-0.009234417290023483,-0.5715404895301988,10,0,deployer_sell_exit
222061,0.7645232408357762,2,2.9614921513607075e-8,3.763710588316298e-8,2.9614921513607075e-8,3,2.8256180123333178e-8,timeout,-0.04588029685135586,-0.07075719719588994,0.02,0.004876900344534075,-0.04588029685135586,1,0,deployer_sell_exit
222359,0.7613989085426337,4,4.3736136484533576e-8,3.495961553849385e-8,5.315523067689056e-8,233,2.8018952980415883e-8,timeout,-0.35936378398845925,-0.37508101014839573,0.02,-0.004282773840063519,-0.35936378398845925,229,0,deployer_sell_exit
222364,0.7974631177309501,1,2.851400422932041e-8,2.823513168220104e-8,3.663189158277365e-8,56,2.0310293447017997e-8,timeout,-0.2877081281297803,-0.30606411704001674,0.02,-0.0016440110897635689,-0.3990163157412211,55,0,deployer_sell_exit
222501,0.8845669786274001,1,6.651146021613237e-8,4.1903972940106125e-8,2.0134533163645096e-7,21,2.0134533163645096e-7,tp_3x,2.027227653432492,1.9496941485183423,0.02,0.05753350491414967,-0.026982081838060723,20,1,deployer_sell_exit
222598,0.8231468079326283,1,3.108543835251081e-8,2.8676952813607757e-8,4.812164932257214e-8,30,4.812164932257214e-8,deployer_sell,0.5480447396903216,0.5066565243992535,0.02,0.021388215291068175,-0.017478758765390512,29,1,deployer_sell_exit
222646,0.7354077736853424,1,3.762257192479894e-8,3.233923578751205e-8,7.593457693604999e-8,431,2.801250961060219e-8,timeout,-0.25543342261144764,-0.27409722882095766,0.02,-0.001336193790489975,-0.25543342261144764,430,1,deployer_sell_exit
222676,0.8916487721058778,1,9.682746131481225e-8,5.194064098218518e-8,2.585049971208354e-7,291,4.387470188174216e-8,sl_50,-0.5468774944011633,-0.5572083682390065,0.02,-0.009669126162156743,-0.5468774944011633,290,1,deployer_sell_exit
222706,0.8119927623658426,1,5.401199650235828e-8,3.88602582683295e-8,6.268021743745056e-8,3,6.268021743745056e-8,deployer_sell,0.16048695653592082,0.13181120955746112,0.02,0.008675746978459704,0.0,2,0,deployer_sell_exit
222741,0.7704245774865651,1,3.186015620411518e-8,2.979991493959734e-8,6.205789585012294e-8,13,9.695105491017115e-9,sl_50,-0.6956981180850312,-0.7031774873472368,0.02,-0.012520630737794396,-0.6956981180850312,12,1,deployer_sell_exit
223074,0.9312299202300771,1,5.539549028748254e-8,3.912392173235786e-8,7.662293824437025e-8,588,2.799493510518691e-8,timeout,-0.4946351235470011,-0.5066706603618595,0.02,-0.00796446318514164,-0.4946351235470011,587,0,deployer_sell_exit
223127,0.7430576185868832,1,4.0050233557029165e-8,3.5614409708593484e-8,5.423753872575599e-8,250,2.8327241092964953e-8,timeout,-0.2927072184827927,-0.31028339474943156,0.02,-0.002423823733361124,-0.2927072184827927,249,0,deployer_sell_exit
223220,0.7721607325387095,1,4.8465120676958594e-8,3.6647336112723355e-8,1.1826150566074417e-7,1524,2.8052393759556273e-8,timeout,-0.4211838665060209,-0.4351949990919053,0.02,-0.005988867414115622,-0.42298531741650036,1523,1,deployer_sell_exit
223261,0.9194284081231728,1,5.21181365868051e-8,3.808039535609036e-8,6.616226071839379e-8,7,6.189756671854912e-8,deployer_sell,0.18763967348402688,0.15815572801662153,0.02,0.009483945467405348,0.0,6,1,deployer_sell_exit
223680,0.9020906831653163,1,8.06017706502621e-8,4.871502238869372e-8,8.06017706502621e-8,12,3.810854552578683e-8,sl_50,-0.5271996481176197,-0.538123328236965,0.02,-0.009076319880654698,-0.5271996481176197,11,0,deployer_sell_exit
223799,0.7423617223590758,1,2.8488479937206385e-8,2.8235131751168266e-8,4.897009366310355e-8,26,1.2770681528873937e-8,sl_50,-0.5517247126900852,-0.5630303804764406,0.02,-0.008694332213644556,-0.5517247126900852,25,0,deployer_sell_exit
223806,0.7346715096119786,1,4.631232878022318e-8,3.485554520037305e-8,5.5467463475013e-8,30,2.8004390961377904e-8,timeout,-0.39531455880196076,-0.41003678847563596,0.02,-0.005277770326324798,-0.39531455880196076,29,0,deployer_sell_exit
223818,0.7408473404987119,1,2.894410232420685e-8,2.841922388909934e-8,8.030622427324555e-8,11,8.030622427324555e-8,timeout,1.7745280670212034,1.6960058652811563,0.02,0.05852220174004709,-0.019539365361999073,10,1,deployer_sell_exit
223891,0.9167864504965565,1,4.28066579023131e-8,3.566917554490087e-8,6.93400067075874e-8,17,5.051680339195972e-8,deployer_sell,0.18011556770541515,0.150231157963472,0.02,0.009884409741943146,0.0,16,1,deployer_sell_exit
223914,0.7552349684867019,1,2.9854310962502983e-8,2.8891105566635853e-8,3.859641858837955e-8,10,1.0935055143493522e-8,sl_50,-0.633719392913541,-0.6428392871974765,0.02,-0.010880105716064441,-0.633719392913541,9,0,deployer_sell_exit
223923,0.8870307271650968,1,6.54665642793193e-8,4.204204204711507e-8,7.256208254920439e-8,8,2.8626678021450258e-8,sl_50,-0.562728266916348,-0.5729599079346368,0.02,-0.009768358981711227,-0.562728266916348,7,0,deployer_sell_exit
223991,0.9204228638652409,1,6.664941058094904e-8,4.2962502737116214e-8,1.3900562942820416e-7,39,2.9896809781076816e-8,sl_50,-0.5514317453000481,-0.5619216905202947,0.02,-0.009510054779753401,-0.5514317453000481,38,1,deployer_sell_exit
224053,0.8672144929083823,1,6.252865552168988e-8,4.172706617473052e-8,1.0292842862035466e-7,215,3.0815965467188945e-8,sl_50,-0.5071705091036296,-0.5187851497719003,0.02,-0.00838535933172933,-0.5071705091036296,214,1,deployer_sell_exit
224153,0.8612757014988337,4,3.0030924576080476e-8,2.832717775116604e-8,8.73165097891368e-8,1269,2.9217208116782397e-8,timeout,-0.027095950950048353,-0.05244982477268678,0.02,0.005353873822638428,-0.027095950950048353,1265,1,deployer_sell_exit
224276,0.7281180134186388,1,3.003435858057726e-8,2.8925477296299367e-8,9.251037583728292e-8,10,9.251037583728292e-8,tp_3x,2.080151540080097,1.9926057381637758,0.02,0.0675458019163211,-0.1609667073668305,9,1,deployer_sell_exit
224472,0.7799945690873918,1,6.605099745624914e-8,4.259615938094516e-8,8.365175327955823e-8,14,2.936969195733044e-8,sl_50,-0.5553482447137255,-0.565750858400757,0.02,-0.009597386312968453,-0.5553482447137255,13,0,deployer_sell_exit
224731,0.7384905277298617,1,2.8329345012924954e-8,2.814308575477979e-8,4.6937755683618e-8,8,1.3319553444866956e-8,sl_50,-0.5298319308550885,-0.5417208586918921,0.02,-0.00811107216319638,-0.5298319308550885,7,0,deployer_sell_exit
224909,0.8373019565600494,1,4.911031622026121e-8,3.7911474701320424e-8,5.3706602249140095e-8,22,4.912256087420945e-8,deployer_sell,0.00024932956842138587,-0.024513733366740842,0.02,0.004763062935162227,-0.29461610700592267,21,1,deployer_sell_exit
224935,0.8110379313933435,1,2.851400422932041e-8,2.823513168220104e-8,2.8978773067453377e-8,133,2.8978773008771362e-8,timeout,0.016299667199075385,-0.010418306797356225,0.02,0.0067179739964316094,0.0,132,0,deployer_sell_exit
225207,0.7939682008085519,2,2.8758022484196943e-8,2.8424976700839144e-8,4.83795922030645e-8,24,1.3291103662211933e-8,sl_50,-0.5378297075358489,-0.549489337631001,0.02,-0.00834036990484786,-0.5378297075358489,22,0,deployer_sell_exit
225443,0.8969545153335099,1,6.400008708729789e-8,4.204204204711507e-8,1.5346718253628624e-7,61,2.9419955423371264e-8,sl_50,-0.5403138220227477,-0.5511045182009167,0.02,-0.009209303821831032,-0.5403138220227477,60,1,deployer_sell_exit
225728,0.7917609296916557,1,3.4485445021480193e-8,3.072037554613236e-8,4.885630442153867e-8,11,3.4616289636967545e-8,timeout,0.0037941982597542445,-0.021998821497898335,0.02,0.0057930197576525795,0.0,10,0,deployer_sell_exit
225786,0.8158915996065889,1,4.873759277678843e-8,3.623025325736886e-8,1.1024792599850475e-7,247,2.7973503981237562e-8,timeout,-0.42603845640566573,-0.43992073139737614,0.02,-0.006117725008289592,-0.42603845640566573,246,1,deployer_sell_exit
225937,0.7540837786816517,1,2.8364246256945215e-8,2.814308561323448e-8,3.3781868027730954e-8,6,1.2453433481967152e-8,sl_50,-0.5609460808810378,-0.5720146109133595,0.02,-0.008931469967678334,-0.5609460808810378,5,0,deployer_sell_exit
226210,0.9140261390833156,1,6.294435377576064e-8,4.1861668891284716e-8,6.456038492572774e-8,7,4.305007104828799e-8,deployer_sell,-0.3160614341732074,-0.3323545734541348,0.02,-0.003706860719072596,-0.3160614341732074,6,0,deployer_sell_exit
226239,0.7702539874872605,1,2.894666977512734e-8,2.8424976769805437e-8,1.0790756846871478e-7,7,1.0790756846871478e-7,tp_3x,2.727805972396702,2.6192217364909407,0.02,0.08858423590576116,0.0,6,1,deployer_sell_exit
226370,0.8862188202627576,1,4.254711770042363e-8,3.352778067066818e-8,4.946818445195071e-8,13,1.908727371132118e-8,sl_50,-0.5513850351575957,-0.5622677545667859,0.02,-0.009117280590809834,-0.5513850351575957,12,1,deployer_sell_exit
226521,0.7399287232365657,93,2.7973886528436638e-8,2.7973886528436638e-8,2.800368850100451e-8,233,2.800368850100451e-8,timeout,0.0010653497338519724,-0.025288943471093034,0.02,0.006354293204945006,0.0,140,0,deployer_sell_exit
226544,0.7871707631368522,1,4.724415280524008e-8,3.57767735868567e-8,4.724415280524008e-8,3,3.71013393062972e-8,deployer_sell,-0.2146892873866476,-0.23398489673943326,0.02,-0.0007043906472143473,-0.2146892873866476,2,0,deployer_sell_exit
226553,0.7945170183272953,1,4.522649780635562e-8,3.5230632945616155e-8,7.194120052343141e-8,8,6.45198611639004e-8,deployer_sell,0.4265942377442611,0.39028912904248036,0.02,0.01630510870178072,0.0,7,1,deployer_sell_exit
226649,0.9712943767909038,1,1.1692919738124747e-7,5.686479122078873e-8,1.2543386181519227e-7,12,1.2543386181519227e-7,deployer_sell,0.07273345429897504,0.04794358214248215,0.02,0.004789872156492892,0.0,11,1,deployer_sell_exit
226887,0.7412211115609975,1,7.741817766218974e-8,5.846423136546812e-8,1.241235700821672e-7,708,3.745664374999478e-8,sl_50,-0.5161776616154035,-0.5273948884008774,0.02,-0.008782773214526012,-0.5161776616154035,707,1,deployer_sell_exit
226892,0.7280607025609803,1,3.497101314512314e-8,3.11487636782486e-8,3.987468148311897e-8,498,2.8085261579566846e-8,timeout,-0.19689882981032647,-0.21725992629020266,0.02,0.0003610964798761891,-0.19689882981032647,497,0,deployer_sell_exit
227063,0.8226250023550417,1,4.7924328315344865e-8,3.623929545183347e-8,4.7924328315344865e-8,1,4.787059988213771e-8,deployer_sell,-0.001121109780686247,-0.025907934030951207,0.02,0.00478682425026496,-0.001121109780686247,0,0,deployer_sell_exit
227107,0.8548642458291964,37,2.9707868869512948e-8,2.9707868869512948e-8,3.192598971746779e-8,1248,2.8040750822481127e-8,timeout,-0.056117052837225345,-0.08070261810386489,0.02,0.004585565266639547,-0.056117052837225345,1211,0,deployer_sell_exit
227243,0.7349476334289191,1,4.703438549193756e-8,3.623961583561157e-8,4.703438549193756e-8,281,2.7967297149490655e-8,timeout,-0.405386147666696,-0.41983332576427373,0.02,-0.005552821902422272,-0.405386147666696,280,0,deployer_sell_exit
227351,0.8241587592966508,56,3.1623232341525503e-8,3.1623232341525503e-8,3.881574239750136e-8,76,3.825966546311381e-8,deployer_sell,0.20985941759260918,0.178106732164737,0.02,0.011752685427872184,0.0,20,1,deployer_sell_exit
227358,0.729201607825922,2,5.184678096435609e-8,3.782215306416858e-8,5.4499169966890586e-8,4,5.4499169966890586e-8,deployer_sell,0.05115821953069699,0.02520856256196982,0.02,0.005949656968727169,0.0,2,0,deployer_sell_exit
227403,0.8167132298469674,1,4.233031834687522e-8,3.440221830848093e-8,1.3748251373991316e-7,10,1.3748251373991316e-7,tp_3x,2.2478497471555623,2.159473229103588,0.02,0.06837651805197444,-0.18614572139648355,9,1,deployer_sell_exit
227511,0.7543764220559744,1,7.224722136639115e-8,4.3071044067457846e-8,1.2895349612616074e-7,13,3.3952181781596125e-8,sl_50,-0.530055535154596,-0.5409956699021663,0.02,-0.009059865252429727,-0.530055535154596,12,1,deployer_sell_exit
227626,0.7531023309562694,1,2.805244746231495e-8,2.8005671041566015e-8,2.805244746231495e-8,12,1.7662073148592353e-8,deployer_sell,-0.37039100875889,-0.38654489721383,0.02,-0.003846111545059965,-0.45808738216708844,11,0,deployer_sell_exit
227654,0.7452993129318686,1,5.0133870985225415e-8,3.710411639746654e-8,5.5449990579490656e-8,10,5.5449990579490656e-8,deployer_sell,0.10603848236318947,0.07857488601955245,0.02,0.007463596343637014,-0.10897450738527337,9,0,deployer_sell_exit
227740,0.740906451619383,1,2.8281719975923427e-8,2.809881035788276e-8,6.521507056938154e-8,110,5.1682767859418814e-8,deployer_sell,0.827426617030965,0.7773457446461285,0.02,0.030080872384836494,-0.30150040247255716,109,1,deployer_sell_exit
227940,0.7776832153349926,2,4.215283056566754e-8,3.408999524407307e-8,6.384267294111001e-8,900,2.8008914715101853e-8,timeout,-0.33553893441465743,-0.3519232523313552,0.02,-0.0036156820833022456,-0.33553893441465743,898,0,deployer_sell_exit
228007,0.8189099084685838,1,4.6815216597953633e-8,3.928808217912931e-8,4.6815216597953633e-8,6,3.5751954859796086e-8,deployer_sell,-0.2363176450334129,-0.25507482350959815,0.02,-0.001242821523814757,-0.2363176450334129,5,0,deployer_sell_exit
228024,0.8281889839279136,1,4.436528426532014e-8,3.4632333497818864e-8,1.3036904098148694e-7,234,2.8988246207528638e-8,timeout,-0.3466006881829351,-0.3626227826687693,0.02,-0.0039779055141658075,-0.3569766666577261,233,1,deployer_sell_exit
228118,0.7477098476005254,1,2.814340968817863e-8,2.805103954427147e-8,5.69909834413633e-8,9,5.69909834413633e-8,timeout,1.025020566903868,0.9690299510963654,0.02,0.03599061580750253,-0.2225386534466982,8,1,deployer_sell_exit
228319,0.8632366286191735,4,1.0746072493216651e-7,5.45418982805222e-8,1.199229954118581e-7,13,1.1498920885171504e-7,deployer_sell,0.07005800420852193,0.04518464229696581,0.02,0.0048733619115561184,0.0,9,1,deployer_sell_exit
228466,0.807418937746927,1,5.497131286109375e-8,3.436426117e-8,5.895365024952394e-8,88,4.3049059539999994e-8,deployer_sell,-0.2168813641256837,-0.2358552695300127,0.02,-0.0010260945956710003,-0.2168813641256837,87,1,deployer_sell_exit
