token_id,arm,oof_score,hit_2x_actual,slot0_price,entry_price,entry_sec,entry_drift,peak_mult,exit_price,exit_sec,hold_sec,exit_reason,gross_roi,net_roi,cost_drag
137774,model,0.8052905569730889,1,5.1890971423112993e-8,9.664960464930246e-8,1,0.8625514612403908,1.2351558817632593,3.3462246851868054e-8,111,110,sl_hard,-0.6537777161811746,-0.6616215191998578,0.007843803018683149
240826,model,0.8622021652474114,1,5.261790202098327e-8,9.904246869435048e-8,2,0.882296041656198,1.4208281597658523,2.860675329286976e-8,80,78,sl_hard,-0.7111667987482068,-0.7176756208625203,0.006508822114313584
109715,model,0.8304307850650426,1,3.673108900993831e-8,4.8416264724432935e-8,1,0.3181276686714345,4.46964578797816,1.2603430599694234e-7,1463,1462,trail,1.6031398067216034,1.5347253980369593,0.0684144086846441
439706,model,0.7574971299998454,0,3.888723477474249e-8,5.4214986821069285e-8,1,0.3941589607775935,1.0517831327950322,2.7991897685228452e-8,433,432,timeout,-0.48368708863450083,-0.49601427257975605,0.012327183945255227
54722,model,0.7929372775514851,0,3.808051548320974e-8,4.8177036866551214e-8,1,0.2651361531015297,1.375369967066973,4.3066305017512086e-8,1421,1420,timeout,-0.10608232015588015,-0.12813539532460116,0.022053075168721015
359741,model,0.7993861758209418,0,3.364398881640302e-8,4.2697960087180585e-8,1,0.26911111284055966,1.4259283443120567,2.7977870236769273e-8,89,88,timeout,-0.3447492531342451,-0.36087696380785284,0.016127710673607742
302125,model,0.7998154855210013,0,3.597967419953974e-8,3.984667374218443e-8,1,0.10747733626487799,1.0,2.8014911010258778e-8,620,619,timeout,-0.2969322560894143,-0.3144075300481668,0.01747527395875248
158398,model,0.8052905569730889,1,5.212023622974353e-8,9.740390726575035e-8,3,0.8688308862684073,1.1817853457102077,2.9682290645311744e-8,91,88,sl_hard,-0.6952659140836255,-0.7021474331348092,0.0068815190511837265
189246,model,0.8683049162811488,1,5.439923000782959e-8,1.170294746392121e-7,1,1.1513075575218297,1.021688403715638,3.057035241453611e-8,57,56,sl_hard,-0.7387807429813655,-0.7446015035488269,0.005820760567461392
457552,model,0.8534975271171026,1,3.768790008702871e-8,6.023993850846958e-8,1,0.5983893602287156,3.416199241255194,1.409072187978049e-7,64,63,trail,1.3390996452958484,1.2795884765970214,0.059511168698827
227541,model,0.7564024847643109,0,2.8051039829214825e-8,3.3693857609757745e-8,1,0.2011625171436957,1.0,2.950092043603103e-8,4,3,timeout,-0.12444218237903515,-0.1468302841067708,0.022388101727735643
307019,model,0.8120414378241869,1,5.46523534948744e-8,1.0746546239929353e-7,1,0.9663464705023586,1.6279711732524462,1.1841703065755627e-7,303,302,trail,0.10190779450212206,0.0762665792065127,0.025641215295609365
465722,model,0.8746751773895854,1,3.1475237050925105e-8,3.851127723390042e-8,7,0.22354208712046897,1.9681463250860578,4.8965184168859646e-8,197,190,trail,0.2714505382791339,0.23873817409353237,0.03271236418560153
335590,model,0.8399591658326176,1,3.678704959711354e-8,4.342407367857799e-8,1,0.18041740650995886,4.254828981647522,1.2874712054747132e-7,1223,1222,trail,1.9648789171750365,1.8850838659423315,0.07979505123270503
441036,model,0.8072745927306515,1,5.1890971423112993e-8,9.693993587267154e-8,1,0.8681464851030538,1.788993790349995,7.377557118271778e-8,210,209,trail,-0.23895584911856804,-0.2565675671063744,0.017611717987806363
7698,model,0.7841152448499855,1,3.504565558009022e-8,4.130751255951731e-8,1,0.17867712490402154,1.9908187827817496,5.286639356795228e-8,1264,1263,trail,0.2798251526712128,0.24714026266486178,0.032684890006351
340795,model,0.8593487280720088,1,5.09937581390814e-8,9.334970327231451e-8,1,0.830610386034123,1.2338407964558133,3.0468948278953575e-8,41,40,sl_hard,-0.6736042299987686,-0.6810047473888194,0.007400517390050876
246662,model,0.8647610598302228,1,3.3100198990117547e-8,3.918682051906651e-8,1,0.1838847413203224,1.8585735387325948,3.742445998668735e-8,579,578,trail,-0.04497329737485789,-0.06910890539626424,0.024135608021406352
493123,model,0.870169086268735,1,5.233831201828346e-8,9.813602097690101e-8,1,0.8750322123995695,1.2196009772330623,2.81244679895748e-8,258,257,sl_hard,-0.7134134061111499,-0.7198740406491475,0.0064606345379976116
138333,model,0.7434674203480491,1,3.7996779959925874e-8,5.176340664803359e-8,1,0.3623103511041459,5.74528296490551,1.9892714440865354e-7,340,339,trail,2.843007199299362,2.739681481062281,0.10332571823708081
254543,model,0.755759486468554,0,3.87176939421802e-8,5.415270816183703e-8,1,0.3986553084155011,1.1657818914652895,2.8799785392392097e-8,1670,1669,timeout,-0.46817460529724464,-0.4808865016334537,0.012711896336209061
240900,model,0.8350674502925517,0,2.8603316027028943e-8,2.928576814649861e-8,25,0.02385919586473051,1.133781297932494,2.860331595806231e-8,1576,1551,timeout,-0.02330320260074492,-0.048837345986898484,0.025534143386153563
33563,model,0.7863346563891747,0,3.290232769252865e-8,4.568309319333456e-8,1,0.38844563279053723,1.0,2.8410556966955024e-8,14,13,timeout,-0.3780947177390279,-0.39327223467162575,0.015177516932597834
301067,model,0.7294505596264774,0,4.305817165820432e-8,4.59773371771808e-8,1,0.06779585399372756,1.0,2.812674819077538e-8,718,717,timeout,-0.3882475602624703,-0.40315862424551097,0.014911063983040651
114254,model,0.7925427835531406,0,4.093748927959024e-8,6.127482952862725e-8,9,0.49679012091189434,1.2750954409388335,6.686430079829192e-8,1133,1124,timeout,0.09121969514502348,0.06465206546465718,0.0265676296803663
6095,model,0.7478312434040306,1,3.364398881640302e-8,5.032891514259908e-8,1,0.4959259265376219,3.25172898390823,1.1227532913656227e-7,46,45,trail,1.2308314975287615,1.17310968000184,0.057721817526921626
85667,model,0.7401799125746692,1,3.886818258389297e-8,5.471636855154144e-8,3,0.40774188331141525,2.448217714645053,9.09991863036649e-8,366,363,trail,0.663107196486294,0.6212548773091469,0.04185231917714716
264299,model,0.7934614684347578,1,4.588133368555719e-8,7.1621224106301e-8,1,0.5610100743180091,1.667647134280672,7.971148861451249e-8,31,30,trail,0.1129590370614697,0.08620887893230456,0.026750158129165147
115757,model,0.7402313947682807,0,3.345414381077227e-8,4.191682387277617e-8,1,0.2529635823254548,1.1771820927382863,2.799537332218641e-8,963,962,timeout,-0.3321208351291941,-0.34860198499413186,0.01648114986493776
137166,model,0.7391035792087417,0,3.130714162255362e-8,4.052565199019665e-8,1,0.29445391338447924,1.0,2.800477516333889e-8,102,101,timeout,-0.308961761550107,-0.3260961272095142,0.01713436565940718
2627,model,0.8452382017967508,0,3.7916940890034946e-8,5.050538502314477e-8,1,0.33200052107627265,1.1168357833588685,2.8418591315964985e-8,1406,1405,timeout,-0.43731561886040904,-0.4508726873305058,0.013557068470096745
170373,model,0.7391035792087417,0,3.154879023671983e-8,3.5889151853326094e-8,1,0.13757616644059123,1.4587377778749409,2.7961771953499317e-8,1124,1123,timeout,-0.22088512796916637,-0.24055403730674563,0.019668909337579255
144265,model,0.7923729277000514,0,3.3424458627818844e-8,3.947662386807367e-8,1,0.18106995561680295,1.0,2.8145386776329634e-8,140,139,timeout,-0.28703663032613236,-0.3047856006576244,0.01774897033149203
7455,model,0.7496479838051981,1,2.9626177969245647e-8,3.3517082597849805e-8,2,0.13133333069973552,1.5323581700243236,3.315627876312147e-8,87,85,trail,-0.010764774460157889,-0.03624437554273574,0.025479601082577852
148370,model,0.8732842726824427,1,3.24884619723036e-8,4.321750259636146e-8,1,0.3302415680128028,2.2180922141576382,6.621109107753378e-8,37,36,trail,0.5320434337894431,0.49268977537747816,0.03935365841196492
192478,model,0.7570674451621368,0,2.7959942313491802e-8,2.7959913936382177e-8,114,-1.014920177788703e-6,1.0,2.7959913936382177e-8,114,0,timeout,0.0,-0.02632614168576175,0.02632614168576175
319196,model,0.7517769982108079,1,3.11366999860211e-8,3.582892762771865e-8,2,0.15069765401613333,9.572329020356108,2.3888555013806647e-7,374,372,trail,5.667393247719067,5.467179438750332,0.2002138089687353
410966,model,0.8735607858710115,0,3.34265300524354e-8,3.968815813418467e-8,3,0.18732509991096324,1.0,2.8005016512583143e-8,99,96,timeout,-0.2943734899992365,-0.3119221956355812,0.017548705636344697
71293,model,0.7828518152337716,1,9.25153129980489e-8,3.3709330740285923e-7,1,2.6436487807155595,1.7479466610277328,3.213306821421583e-7,13,12,trail,-0.046760421861069656,-0.06748142426028214,0.020721002399212485
294138,model,0.8630332841605045,1,2.9339684510718137e-8,3.1266686009598515e-8,4,0.0656790122666937,1.8873865945910056,5.125388669514654e-8,1422,1418,timeout,0.6392490934092658,0.5952761597015543,0.04397293370771149
483824,model,0.8697473801658943,0,2.951055343617577e-8,3.1148242060565655e-8,1,0.05549501563675552,1.1022723684327385,2.797117477315697e-8,719,718,timeout,-0.10199828552863732,-0.12519542926982374,0.02319714374118642
414219,model,0.7488292868775656,0,3.973705693469844e-8,5.692495811010431e-8,1,0.4325408699404052,1.0,2.8004832324689938e-8,113,112,timeout,-0.5080394741701353,-0.5197193268397811,0.011679852669645774
12860,model,0.7373089172256584,0,2.9072751001960896e-8,3.0221304029865555e-8,1,0.03950616946525609,1.0,2.8416922671949057e-8,49,48,timeout,-0.05970560886894083,-0.08414335720080224,0.02443774833186141
168952,model,0.7501678304423637,1,4.007110559096963e-8,5.607503893520429e-8,1,0.3993883649629393,2.5143927978227087,9.430989033194901e-8,15,14,trail,0.6818515354207024,0.6396073346522755,0.04224420076842694
213440,model,0.7968233086892816,1,4.106151322156429e-8,6.030439048559702e-8,1,0.46863536568172415,1.4818065000903866,2.8059757879348425e-8,673,672,timeout,-0.5346979274079529,-0.5456746624313255,0.010976735023372597
470830,model,0.8883127949048353,1,5.658463031146183e-8,1.1567853912351632e-7,1,1.0443455844242635,1.2690756562623817,3.146323929341478e-8,27,26,sl_hard,-0.7280114398763304,-0.7340804261266417,0.00606898625031127
477754,model,0.7608185875651616,1,3.584825791424618e-8,4.610090763816924e-8,1,0.2860013378739008,2.260972538862713,5.452690268775489e-8,20,19,trail,0.18277286676692994,0.15304974745177513,0.02972311931515481
127356,model,0.8079653262072506,1,2.9343102062441938e-8,3.180240235956267e-8,1,0.08381187141998003,1.9781982741222253,4.200695006844307e-8,319,318,trail,0.3208734860186433,0.286035599822964,0.03483788619567929
306354,model,0.8644640026761765,0,3.359162500888396e-8,4.1097277293183924e-8,8,0.22343820170399442,1.6046931831558944,3.556238523376275e-8,685,677,trail,-0.1346778284102813,-0.15633024260756023,0.021652414197278924
339221,model,0.7311755442230677,1,3.87176939421802e-8,5.408269700868434e-8,1,0.39684706143526416,1.5035963788991422,5.584682222547746e-8,212,211,trail,0.032619031859854264,0.007251406858717502,0.025367625001136762
203382,model,0.7398071515222735,0,3.969898227140319e-8,5.494702395526974e-8,1,0.3840915008758383,1.0,2.7988853685234126e-8,152,151,timeout,-0.49062111702321176,-0.5027636245389384,0.012142507515726653
